Y	S	R	ESC	I 
1	1	1	1	15
0	1	1	1	16
0	1	1	1	16
1	1	1	1	16
1	1	1	1	16
1	1	1	1	16
0	1	1	1	17
1	1	1	1	17
0	1	1	1	17
1	1	1	1	17
0	1	1	1	17
0	2	1	1	17
1	2	1	1	17
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
1	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	1	1	2	15
0	2	1	2	15
0	2	1	2	15
1	2	1	2	15
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
0	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
1	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	1	1	2	16
0	2	1	2	16
0	2	1	2	16
1	2	1	2	16
1	2	1	2	16
1	2	1	2	16
1	2	1	2	16
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
1	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	1	1	2	17
0	2	1	2	17
1	2	1	2	17
1	2	1	2	17
0	2	1	2	17
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
0	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
1	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	1	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
1	2	1	3	15
1	2	1	3	15
1	2	1	3	15
1	2	1	3	15
1	2	1	3	15
1	2	1	3	15
1	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	2	1	3	15
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
0	1	1	3	16
